DEMONS - FT SOULJA K  JB,4:42,Foolio & Soulja k,128 kbps,Everyday Dreday,Hip-Hop
Dogghouse (Feat Twinz & Rapp'n 4 Tay),3:50,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
"Dogghouse In Your Mouth (Feat Suga Free, Soopafly, RBX, Kurupt, Ruff Dog, King Lou & Mixmaster Spade)",6:46,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
Doing My Thang,3:43,B.G.,128 kbps,Life After Cash Money,Other
Don't Fuck Wit Me (Part II),1:59,E-A-Ski & CMT,128 kbps,Breakin' Them Off Somethin',Gangsta Rap
Down On You,3:03,Tokio Hotel,128 kbps,Humanoid [English Deluxe Edition],Pop-Rock
Dr. Funkenstein (Live),1:11,Red Hot Chili Peppers,128 kbps,Under The Covers,Funk Rock / Rock Alternativo
"Eastside Ridaz (Feat Nate Dogg, Soopafly & Latoya Williams)",4:17,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
An Encounter,1:15,The 1975,128 kbps,The 1975,
Everywhere I Go,4:36,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
Fantasy (Kele from Bloc Party Remix),5:57,MS MR,128 kbps,Fantasy (Kele From Bloc Party Remix),Indie Rock / Dreampop / Dark Wave
Fire,2:01,Red Hot Chili Peppers,128 kbps,Under The Covers,Funk Rock / Rock Alternativo
Flesh And Bone,4:29,Alien Ant Farm,128 kbps,Anthology,Alt. Rock
FLIP FLOP (REMIX),2:51,Foolio & Soulja k,128 kbps,Everyday Dreday,Hip-Hop
Forgive & Forget,2:59,Alien Ant Farm,128 kbps,Up In The Attic,Alt. Rock
Free,3:47,G-Eazy,128 kbps,The Epidemic LP,Hip-Hop
Friends (Feat Kokane),2:56,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
Fuckin' Yo Mama (Skit),1:26,D12,128 kbps,"Detroit, What? (Promo Tape)",Hip-Hop
G'd Up (Feat Butch Cassidy),4:01,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Gangsta Nation,4:23,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Gangsta's Make The World Go Round,4:23,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Gay Health Club (Skit),1:12,D12,128 kbps,"Detroit, What? (Promo Tape)",Hip-Hop
Get Ya Walk On (Remix),2:25,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Getting Closer,3:49,Alien Ant Farm,128 kbps,Up In The Attic,Alt. Rock
"Ghetto (Feat Kokane, Kam & Nate Dogg)",4:40,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Ghost (1 Mic 1 Take),2:40,Halsey,128 kbps,Room 93: 1 Mic 1 Take (Single),Alternative
Girls,4:15,The 1975,128 kbps,The 1975,
Give It 2 Em Dogg (Feat Bugsy Siegel),3:29,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Good One,4:06,G-Eazy,128 kbps (VBR),The Epidemic LP,Hip-Hop
"Got Beef (Feat Jayo Felony, Sylk E Fine & Blaqthoven)",4:12,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Got It Twisted,2:17,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Happy Death Day,4:34,Alien Ant Farm,128 kbps,Anthology,Alt. Rock
Heart Out,3:22,The 1975,128 kbps,The 1975,
Higher Ground,3:22,Red Hot Chili Peppers,128 kbps,Under The Covers,Funk Rock / Rock Alternativo
Higher Ground (Daddy-O Mix),5:29,Red Hot Chili Peppers,128 kbps,Under The Covers,Funk Rock / Rock Alternativo
Hold That Thought,3:44,B.G.,128 kbps,Life After Cash Money,Other
Hollywood,5:04,Red Hot Chili Peppers,128 kbps,Under The Covers,Funk Rock / Rock Alternativo
Hollywood (Extended Dance Mix),6:33,Red Hot Chili Peppers,128 kbps,Under The Covers,Funk Rock / Rock Alternativo
Hood Hop,2:26,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
HOT SHIT PART 1,2:55,Foolio & Soulja k,128 kbps,Everyday Dreday,Hip-Hop
HOT SHIT PART 2,2:56,Foolio & Soulja k,128 kbps,Everyday Dreday,Hip-Hop
How You Livin (Feat Butch Cassidy),2:38,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Hurricane (1 Mic 1 Take),3:46,Halsey,128 kbps,Room 93: 1 Mic 1 Take (Single),Alternative
I Aint The One,2:24,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
"I Don't Know (Feat Suga Free, Soopafly & Latoya Williams)",4:08,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
I Dont Want You Back (feat. Riva),4:16,G-Eazy,128 kbps,The Epidemic LP,Hip-Hop
I Luv It (Feat Kokane & Sir Dog),4:58,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
I Pledge Alligence (Feat Soopafly & Kokane),3:46,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
If You Want Me to Stay,4:06,Red Hot Chili Peppers,128 kbps,Under The Covers,Funk Rock / Rock Alternativo
The Illest (feat. Khane),3:24,G-Eazy,128 kbps (VBR),The Epidemic LP,Hip-Hop
Into The Future,4:41,Bone Thugs-N-Harmony,128 kbps,Strength & Loyalty (Bonus Track Version),Hip-Hop/Rap
INTRO,2:45,Foolio & Soulja k,128 kbps,Everyday Dreday,Hip-Hop
Intro,1:18,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
Intro,0:26,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Intro,2:07,Kuniva,128 kbps (VBR),Retribution [Mixtape],Rap
Intro Skit,0:33,D12,128 kbps,"Detroit, What? (Promo Tape)",Hip-Hop
Intro to Indo (Feat Dr Dre),0:25,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Is There Somebody Who Can Watch You,2:54,The 1975,128 kbps,The 1975,
It Could Happen,3:54,Alien Ant Farm,128 kbps,Up In The Attic,Alt. Rock
Just 4 Tha Radio,4:04,E-A-Ski & CMT,128 kbps,Breakin' Them Off Somethin',Gangsta Rap
"Kick, Push (remix)",4:16,DJ Smallz & Drake feat. Lupe Fiasco,128 kbps,Room for Improvement,Hip-Hop/Rap
Kill Game,3:27,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Kon Artis Freestyle,1:01,D12,128 kbps,"Detroit, What? (Promo Tape)",Hip-Hop
Kuniva Freestyle,0:57,D12,128 kbps,"Detroit, What? (Promo Tape)",Hip-Hop
La Cancion De Guerra,4:05,Culture Club,128 kbps,Waking Up With The House On Fi,New Wave
Late Night,2:56,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
LBC Thang (Feat Butch Cassidy),3:23,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Lean Back,2:09,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
LETTER,2:59,Foolio & Soulja k,128 kbps,Everyday Dreday,Hip-Hop
Life Goes On,3:36,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Lord Knows,3:07,Alien Ant Farm,128 kbps,Up In The Attic,Alt. Rock
Love Is Cold (You Were Never So Good) (*),4:23,Culture Club,128 kbps,Kissing to Be Clever,New Wave
M.O.N.E.Y,3:37,The 1975,128 kbps,The 1975,
Mac Bible Chapter 2-11 Verse 20--21 (Feat Mac Minister),1:43,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
Mama?! (Skit),1:08,D12,128 kbps,"Detroit, What? (Promo Tape)",Hip-Hop
Menswear,3:27,The 1975,128 kbps,The 1975,
The Mirror (Feat. Rally Ral),4:11,E-A-Ski & CMT,128 kbps,Breakin' Them Off Somethin',Gangsta Rap
Movies,3:16,Alien Ant Farm,128 kbps,Anthology,Alt. Rock
Mr. Jangles,1:31,G-Eazy,128 kbps,The Epidemic LP,Hip-Hop
Mr. Jangles Part 2,1:51,G-Eazy,128 kbps,The Epidemic LP,Hip-Hop
Music,5:12,G-Eazy,128 kbps (VBR),The Epidemic LP,Hip-Hop
Mystery Boy (Suntori Hot Whiskey Song),0:04,Culture Club,128 kbps,Colour by Numbers,New Wave
Nigga 4 Life (Feat Bad Azz),4:11,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Niggaz In Blacc,4:04,X-Raided,128 kbps,Niggaz In Blacc,Gangsta Rap
Not Afraid Anymore,3:47,Halsey,128 kbps,Fifty Shades Darker (Original Motion Picture Soundtrack),Soundtrack
Not Your Average Joe,2:09,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Now Is The Time (Feat Kokane),3:44,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
Now We Lay Em Down,4:10,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
On Fire,2:28,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Orange Appeal,2:46,Alien Ant Farm,128 kbps,Anthology,Alt. Rock
Outro,1:11,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
OUTRO FT FOULOUT,3:08,Foolio & Soulja k,128 kbps,Everyday Dreday,Hip-Hop
Pampers,4:04,G-Eazy,128 kbps (VBR),The Epidemic LP,Hip-Hop
POPPIN,3:46,Foolio & Soulja k,128 kbps,Everyday Dreday,Hip-Hop
Pressure,3:42,The 1975,128 kbps,The 1975,
Proof Freestyle,0:57,D12,128 kbps,"Detroit, What? (Promo Tape)",Hip-Hop
Pussy Sells (Feat Suga Free),4:16,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Real Talk,0:19,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Repeat Defender,3:15,Alien Ant Farm,128 kbps,Up In The Attic,Alt. Rock
Robbers,4:15,The 1975,128 kbps,The 1975,
San Sebastian,3:08,Alien Ant Farm,128 kbps,Up In The Attic,Alt. Rock
Search and Destroy,3:37,Red Hot Chili Peppers,128 kbps,Under The Covers,Funk Rock / Rock Alternativo
Settle Down,4:00,The 1975,128 kbps,The 1975,
Sex,3:28,The 1975,128 kbps,The 1975,
She Way Out,3:59,The 1975,128 kbps,The 1975,
She's Only Evil,8:29,Alien Ant Farm,128 kbps,Up In The Attic,Alt. Rock
Shit On You (Snippet),1:56,D12,128 kbps,"Detroit, What? (Promo Tape)",Hip-Hop
Shut Up,2:24,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Ski & CMT,3:56,E-A-Ski & CMT,128 kbps,Breakin' Them Off Somethin',Gangsta Rap
Sleepwalker,3:07,Alien Ant Farm,128 kbps,Up In The Attic,Alt. Rock
Slow Motion,2:55,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Smooth Criminal,3:29,Alien Ant Farm,128 kbps,Anthology,Alt. Rock
So Low (Feat Lil MO),3:31,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
State Of Emergency,3:29,Alien Ant Farm,128 kbps,Up In The Attic,Alt. Rock
Stick Em,2:14,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Sticks And Stones,3:16,Alien Ant Farm,128 kbps,Anthology,Alt. Rock
Sticky Fingers (Feat Rick Rock),3:13,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
Stranded,3:57,Alien Ant Farm,128 kbps,Anthology,Alt. Rock
The Streets,3:27,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Subterranean Homesick Blues,2:33,Red Hot Chili Peppers,128 kbps,Under The Covers,Funk Rock / Rock Alternativo
Summer,4:15,Alien Ant Farm,128 kbps,Anthology,Alt. Rock
Supreme Lifestyle,3:56,Alien Ant Farm,128 kbps,Up In The Attic,Alt. Rock
Swift Freestyle,1:00,D12,128 kbps,"Detroit, What? (Promo Tape)",Hip-Hop
Take it Back to 85 (Feat Kurupt & Butch Cassidy),4:22,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Talk!,2:48,The 1975,128 kbps,The 1975,
Tha Eastsidaz,2:59,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Tha G In Dee,2:40,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Tha Mac Bible,0:37,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
Tha Mac Ten Commandments,0:47,Tha Eastsidaz,128 kbps,Tha Eastsidaz,"West Coast Hip Hop, Gangsta Rap"
That's My Name,1:06,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Theif's Theme,4:00,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
There Comes A Time (Feat Daddy V),4:26,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
They're Red Hot,1:00,Red Hot Chili Peppers,128 kbps,Under The Covers,Funk Rock / Rock Alternativo
Tiny Dancer (Live),2:01,Red Hot Chili Peppers,128 kbps,Under The Covers,Funk Rock / Rock Alternativo
Tired Af,3:23,JVZEL,128 kbps,Tired Af - Single,R&B/Soul
Trouble (1 Mic 1 Take),4:12,Halsey,128 kbps,Room 93: 1 Mic 1 Take (Single),Alternative
Under The Influence (Snippet),1:49,D12,128 kbps,"Detroit, What? (Promo Tape)",Hip-Hop
Universe,5:47,Alien Ant Farm,128 kbps,Anthology,Alt. Rock
Warrior Prt 2,1:30,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Wassup,3:55,Lil Scrappy,128 kbps,Prince Of The South,Hip Hop
WE GOT IT - FT PRIME,3:50,Foolio & Soulja k,128 kbps,Everyday Dreday,Hip-Hop
Welcome 2 Tha House (Feat Tha Angels & Nate Dogg),3:49,Tha Eastsidaz,128 kbps,Duces 'N Trayz: The Old Fashioned Way,"West Coast Hip Hop, Gangsta Rap, G-Funk"
What I Feel Is Mine,2:59,Alien Ant Farm,128 kbps,Up In The Attic,Alt. Rock
Where My Kids At? (Skit),1:17,D12,128 kbps,"Detroit, What? (Promo Tape)",Hip-Hop
Whisper,3:26,Alien Ant Farm,128 kbps,Anthology,Alt. Rock
Why Don't You Love Me,3:25,Red Hot Chili Peppers,128 kbps,Under The Covers,Funk Rock / Rock Alternativo
Why I Love You,2:39,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
Wild Af,2:46,JVZEL,128 kbps,Wild Af - Single,R&B/Soul
Wish,3:22,Alien Ant Farm,128 kbps,Anthology,Alt. Rock
12,1:20,The 1975,128 kbps,The 1975,
24 Hours To Live,1:25,WC,128 kbps,Westside Heavy Hitter,Hip-Hop
711 (Skit),2:35,D12,128 kbps,"Detroit, What? (Promo Tape)",Hip-Hop
The 1975,1:20,The 1975,128 kbps,The 1975,
Miss you,4:42,Thieves Like Us,129 kbps (VBR),Play Music,Electro
Drugs in my body,3:29,Thieves Like Us,130 kbps (VBR),Play Music,Electro
Jiva Sucka,3:03,Kuniva,130 kbps (VBR),Retribution [Mixtape],Rap
Live At The Apollo Raw Vocal Commercial,3:28,Run-D.M.C.,130 kbps (VBR),Raising Hell,Rap
"I Decided, Pt. 2 (Freemasons remix)",4:02,Solange,131 kbps (VBR),Sol-Angel and the Hadley St. Dreams (Deluxe Edition),Pop
Talk to You,4:53,G-Eazy,131 kbps (VBR),The Epidemic LP,Hip-Hop
We Do This Shit,0:47,Fabolous,131 kbps (VBR),There Is No Competition,Hip-Hop
Bad (Cover Micheal Jackson),4:00,Billie Eilish,132 kbps,Unreleased,Alternative
Fass,3:49,Thieves Like Us,132 kbps (VBR),Play Music,Electro
The Same Thang [feat Bizarre & Big],3:58,Kuniva,132 kbps (VBR),Retribution [Mixtape],Rap
Drinks Up,3:03,G-Eazy,133 kbps (VBR),The Epidemic LP,Hip-Hop
Fresh,3:21,G-Eazy,133 kbps (VBR),The Epidemic LP,Hip-Hop
Groupies,3:11,G-Eazy,133 kbps (VBR),The Epidemic LP,Hip-Hop
Passing By,3:16,G-Eazy,133 kbps (VBR),The Epidemic LP,Hip-Hop
Program of the second part,1:55,Thieves Like Us,133 kbps (VBR),Play Music,Electro
Fall Back,2:18,Fabolous,134 kbps (VBR),There Is No Competition,Hip-Hop
Brooklyn's Finest,0:31,Fabolous,135 kbps (VBR),There Is No Competition,Hip-Hop
Intro,1:27,Kurupt & Roscoe,135 kbps (VBR),The Frank & Jess Story,Gangsta Rap
One More Step [Freestyle] [feat Beez],3:03,Kuniva,135 kbps (VBR),Retribution [Mixtape],Rap
hood story,1:59,Nicki Minaj,136 kbps (VBR),Playtime Is Over,Hip-Hop
I Got U (feat. A-Dub),4:19,Kurupt & Roscoe,136 kbps (VBR),The Frank & Jess Story,Gangsta Rap
letcha go,2:37,Nicki Minaj,136 kbps (VBR),Playtime Is Over,Hip-Hop
Where The Heart Is,3:43,Kuniva,136 kbps (VBR),Retribution [Mixtape],Rap
Bars R' Us,4:17,Fabolous feat. Ransom & Paul Cain,137 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
Outta Bounds,0:41,E-40,137 kbps (VBR),In A Major Way,"West Coast Hip Hop,Gangsta Rap"
Grindin',2:20,Nicki Minaj,138 kbps (VBR),Sucka Free,Hip-Hop
interlude,1:50,Nicki Minaj,138 kbps (VBR),Playtime Is Over,Hip-Hop
Just Thoughts,4:24,Kuniva,139 kbps (VBR),Retribution [Mixtape],Rap
Sunshine (feat. Lil Wayne),3:18,Nicki Minaj,139 kbps (VBR),Sucka Free,Hip-Hop
Computer Love,5:21,Fabolous,140 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
Doin' It Well (feat. Jadakiss),2:23,Nicki Minaj,140 kbps (VBR),Sucka Free,Hip-Hop
Make It Hot,3:53,Paul Cain feat. Fabolous,140 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
Autobiography,4:33,Nicki Minaj,141 kbps (VBR),Sucka Free,Hip-Hop
cant stop wont stop (feat. lil wayne),2:26,Nicki Minaj,141 kbps (VBR),Playtime Is Over,Hip-Hop
Clyde The Glyde,3:06,Kuniva,141 kbps (VBR),Retribution [Mixtape],Rap
warning,2:52,Nicki Minaj,141 kbps (VBR),Playtime Is Over,Hip-Hop
Diamonds and Gold [feat Mr. Porter],4:27,Kuniva,142 kbps (VBR),Retribution [Mixtape],Rap
Intro,1:09,G-Eazy,142 kbps (VBR),The Epidemic LP,Hip-Hop
The Same Thang [feat Bizarre & Big Dame],3:20,Kuniva,142 kbps (VBR),Retribution [Mixtape],Rap
Think U Tuff [feat Maestro],3:58,Kuniva,142 kbps (VBR),Retribution [Mixtape],Rap
Feel Alright,4:31,Audio Bullys,143 kbps (VBR),Higher Than the Eiffel,Electronic
How We Do It,4:20,"Fabolous feat. Young Jeezy, Slick Pulla & Paul Cain",143 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
Can I Live,4:50,"Fabolous feat. Ransom, Paul Cain, Stack Bundles & Jaz",144 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
An easy tonight,4:57,Thieves Like Us,144 kbps (VBR),Play Music,Electro
encore 07,4:10,Nicki Minaj,144 kbps (VBR),Playtime Is Over,Hip-Hop
Headlong into night,5:38,Thieves Like Us,144 kbps (VBR),Play Music,Electro
Higher Than a Kite (feat. Lil Wayne),2:36,Nicki Minaj,144 kbps (VBR),Sucka Free,Hip-Hop
ease up (feat. ru spits),3:39,Nicki Minaj,145 kbps (VBR),Playtime Is Over,Hip-Hop
Cuchi Shop,3:11,Nicki Minaj,146 kbps (VBR),Sucka Free,Hip-Hop
Gun Game [Freestyle],3:01,Kuniva,146 kbps (VBR),Retribution [Mixtape],Rap
Hurry Up and Buy,3:01,Kuniva,146 kbps (VBR),Retribution [Mixtape],Rap
Money Clip [feat Royce Da 5'9],3:05,Kuniva,146 kbps (VBR),Retribution [Mixtape],Rap
Program of the first part,6:01,Thieves Like Us,147 kbps (VBR),Play Music,Electro
Brraaattt (feat. Ransom),2:43,Nicki Minaj,148 kbps (VBR),Sucka Free,Hip-Hop
Cosmic Journey (ft. Bilal),6:14,Solange,148 kbps (VBR),Sol-Angel and the Hadley St. Dreams (Deluxe Edition),Pop
Daisy Chains,4:14,Audio Bullys,148 kbps (VBR),Higher Than the Eiffel,Electronic
The Future Belongs to Us,4:55,Audio Bullys,148 kbps (VBR),Higher Than the Eiffel,Electronic
Intro,2:56,Fabolous,149 kbps (VBR),There Is No Competition,Hip-Hop
Let Go And Let God (Feat  Lenny Williams),4:58,E-40,149 kbps (VBR),Revenue Retrievin-Night Shift,"West Coast Hip Hop,Gangsta Rap,Hyphy"
Retribution,4:01,Kuniva,149 kbps (VBR),Retribution [Mixtape],Rap
All I Need (feat. Daz Dillinger),4:15,Kurupt & Roscoe,150 kbps (VBR),The Frank & Jess Story,Gangsta Rap
Bury Me a G [Freestyle],3:42,Kuniva,150 kbps (VBR),Retribution [Mixtape],Rap
